secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
112,46.5625,129.688,0.0663125,3.4641,0,0,0,0,0,0,0,-8.37448e+30,0,-255,0,0,0,0,0,0,0,0
113,46.5,129.5,0.06734,3.456,0,0,0,0,0,0,0,-1.50741e+31,0,-255,0,0,0,0,0,0,0,0
114,46.4375,129.312,0.0683675,3.4479,0,0,0,0,0,0,0,-2.71333e+31,0,-255,0,0,0,0,0,0,0,0
115,46.375,129.125,0.069395,3.4398,0,0,0,0,0,0,0,-4.884e+31,0,-255,0,0,0,0,0,0,0,0
116,46.3125,128.938,0.0704225,3.4317,0,0,0,0,0,0,0,-8.79119e+31,0,-255,0,0,0,0,0,0,0,0
117,46.25,128.75,0.07145,3.4236,0,0,0,0,0,0,0,-1.58241e+32,0,-255,0,0,0,0,0,0,0,0
118,46.1875,128.562,0.0724775,3.4155,0,0,0,0,0,0,0,-2.84835e+32,0,-255,0,0,0,0,0,0,0,0
119,46.125,128.375,0.073505,3.4074,0,0,0,0,0,0,0,-5.12702e+32,0,-255,0,0,0,0,0,0,0,0
120,46.0625,128.188,0.0745325,3.3993,0,0,0,0,0,0,0,-9.22864e+32,0,-255,0,0,0,0,0,0,0,0
121,46,128,0.07556,3.3912,0,0,0,0,0,0,0,-1.66116e+33,0,-255,0,0,0,0,0,0,0,0
122,47,129,0.0766233,3.546,0,0,0,0,0,0,0,-2.99008e+33,0,-255,0,0,0,0,0,0,0,0
123,48,130,0.0776867,3.7008,0,0,0,0,0,0,0,-5.38214e+33,0,-255,0,0,0,0,0,0,0,0
124,49,131,0.07875,3.8556,0,0,0,0,0,0,0,-9.68786e+33,0,-255,0,0,0,0,0,0,0,0
125,49,129,0.0798,3.861,0,0,0,0,0,0,0,-1.74381e+34,0,-255,0,0,0,0,0,0,0,0
126,49,127,0.08085,3.8664,0,0,0,0,0,0,0,-3.13887e+34,0,-255,0,0,0,0,0,0,0,0
127,46.6667,127.143,0.081221,3.68229,0,0,0,0,0,0,0,-5.64996e+34,0,-255,0,0,0,0,0,0,0,0
128,44.3333,127.286,0.0815919,3.49817,0,0,0,0,0,0,0,-1.01699e+35,0,-255,0,0,0,0,0,0,0,0
129,42,127.429,0.0819629,3.31406,0,0,0,0,0,0,0,-1.83059e+35,0,-255,0,0,0,0,0,0,0,0
130,39.6667,127.571,0.0823338,3.12994,0,0,0,0,0,0,0,-3.29505e+35,0,-255,0,0,0,0,0,0,0,0
131,37.3333,127.714,0.0827048,2.94583,0,0,0,0,0,0,0,-5.9311e+35,0,-255,0,0,0,0,0,0,0,0
132,35,127.857,0.0830757,2.76171,0,0,0,0,0,0,0,-1.0676e+36,0,-255,0,0,0,0,0,0,0,0
133,32.6667,128,0.0834467,2.5776,0,0,0,0,0,0,0,-1.92168e+36,0,-255,0,0,0,0,0,0,0,0
134,30.3333,128.143,0.0838176,2.39349,0,0,0,0,0,0,0,-3.45902e+36,0,-255,0,0,0,0,0,0,0,0
135,28,128.286,0.0841886,2.20937,0,0,0,0,0,0,0,-6.22623e+36,0,-255,0,0,0,0,0,0,0,0
136,25.6667,128.429,0.0845595,2.02526,0,0,0,0,0,0,0,-1.12072e+37,0,-255,0,0,0,0,0,0,0,0
137,23.3333,128.571,0.0849305,1.84114,0,0,0,0,0,0,0,-2.0173e+37,0,-255,0,0,0,0,0,0,0,0
138,21,128.714,0.0853014,1.65703,0,0,0,0,0,0,0,-3.63114e+37,0,-255,0,0,0,0,0,0,0,0
139,18.6667,128.857,0.0856724,1.47291,0,0,0,0,0,0,0,-6.53605e+37,0,-255,0,0,0,0,0,0,0,0
140,16.3333,129,0.0860433,1.2888,0,0,0,0,0,0,0,-1.17649e+38,0,-255,0,0,0,0,0,0,0,0
141,14,129.143,0.0864143,1.10469,0,0,0,0,0,0,0,-2.11768e+38,0,-255,0,0,0,0,0,0,0,0
142,11.6667,129.286,0.0867852,0.920571,0,0,0,0,0,0,0,-3.81182e+38,0,-255,0,0,0,0,0,0,0,0
143,9.33333,129.429,0.0871562,0.736457,0,0,0,0,0,0,0,-6.86128e+38,0,-255,0,0,0,0,0,0,0,0
144,7,129.571,0.0875271,0.552343,0,0,0,0,0,0,0,-1.23503e+39,0,-255,0,0,0,0,0,0,0,0
145,4.66667,129.714,0.0878981,0.368229,0,0,0,0,0,0,0,-2.22305e+39,0,-255,0,0,0,0,0,0,0,0
146,2.33333,129.857,0.088269,0.184114,0,0,0,0,0,0,0,-4.0015e+39,0,-255,0,0,0,0,0,0,0,0
147,0,130,0.08864,0,0,0,0,0,0,0,0,-7.20269e+39,0,-255,0,0,0,0,0,0,0,0
148,0,131.5,0.08864,0,0,0,0,0,0,0,0,-1.29649e+40,0,-255,0,0,0,0,0,0,0,0
149,0,133,0.08864,0,0,0,0,0,0,0,0,-2.33367e+40,0,-255,0,0,0,0,0,0,0,0
150,0,132.833,0.0888222,0,0,0,0,0,0,0,0,-4.20061e+40,0,-255,0,0,0,0,0,0,0,0
151,0,132.667,0.0890044,0,0,0,0,0,0,0,0,-7.5611e+40,0,-255,0,0,0,0,0,0,0,0
152,0,132.5,0.0891867,0,0,0,0,0,0,0,0,-1.361e+41,0,-255,0,0,0,0,0,0,0,0
153,0,132.333,0.0893689,0,0,0,0,0,0,0,0,-2.4498e+41,0,-255,0,0,0,0,0,0,0,0
154,0,132.167,0.0895511,0,0,0,0,0,0,0,0,-4.40963e+41,0,-255,0,0,0,0,0,0,0,0
155,0,132,0.0897333,0,0,0,0,0,0,0,0,-7.93734e+41,0,-255,0,0,0,0,0,0,0,0
156,0,131.833,0.0899156,0,0,0,0,0,0,0,0,-1.42872e+42,0,-255,0,0,0,0,0,0,0,0
157,0,131.667,0.0900978,0,0,0,0,0,0,0,0,-2.5717e+42,0,-255,0,0,0,0,0,0,0,0
158,0,131.5,0.09028,0,0,0,0,0,0,0,0,-4.62906e+42,0,-255,0,0,0,0,0,0,0,0
159,0,131.333,0.0904622,0,0,0,0,0,0,0,0,-8.3323e+42,0,-255,0,0,0,0,0,0,0,0
160,0,131.167,0.0906444,0,0,0,0,0,0,0,0,-1.49981e+43,0,-255,0,0,0,0,0,0,0,0
161,0,131,0.0908267,0,0,0,0,0,0,0,0,-2.69967e+43,0,-255,0,0,0,0,0,0,0,0
162,0,130.833,0.0910089,0,0,0,0,0,0,0,0,-4.8594e+43,0,-255,0,0,0,0,0,0,0,0
163,0,130.667,0.0911911,0,0,0,0,0,0,0,0,-8.74692e+43,0,-255,0,0,0,0,0,0,0,0
164,0,130.5,0.0913733,0,0,0,0,0,0,0,0,-1.57444e+44,0,-255,0,0,0,0,0,0,0,0
165,0,130.333,0.0915556,0,0,0,0,0,0,0,0,-2.834e+44,0,-255,0,0,0,0,0,0,0,0
166,0,130.167,0.0917378,0,0,0,0,0,0,0,0,-5.1012e+44,0,-255,0,0,0,0,0,0,0,0
167,0,130,0.09192,0,0,0,0,0,0,0,0,-9.18216e+44,0,-255,0,0,0,0,0,0,0,0
168,5.5,130.375,0.0928338,0,0,0,0,0,0,0,0,-1.65279e+45,0,-255,0,0,0,0,0,0,0,0
